keys,fr,en
JOUER,Jouer,Play
PARAMETRES,Parametres,Settings
CREDITS,Credits,Credits
FERMER,Fermer,Close
RECOMMENCER,Recommencer,Restart
MIEL,Miel,Honey
POLLEN,Pollen,Pollen
AMELIORATIONS,Ameliorations,Upgrades
ASSEMBLEE,Assemblee,Assembly
MUSEE,Musee,Museum
PAUSE,Pause,Pause
REPRENDRE,Reprendre,Resume
OUVRIERE,Ouvriere,Worker
GUERRIERE,Guerriere,Warrior
BUTINEUSE,Butineuse,Forager
CAPACITE,Capacite,Capacity
VITESSE,Vitesse,Speed
DEFENSE,Defense,Defense
RECOLTE,Recolte,Harvest
REINE,Reine,Queen
PRESTIGE,Prestige,Prestige
RUCHE,Ruche,Hive
SANTE,Sante,Health
DANGER,Danger,Danger
DISPONIBLE,Disponible,Available
INSUFFISANT,Insuffisant,Insufficient
INTERDIT,Interdit,Banned
MAX,MAX,MAX
ACHETER,Acheter,Buy
VOTER,Voter,Vote
COUT,Cout,Cost
NIVEAU,Niveau,Level
VERSION,VERSION,Version
